0x0F25 ART\ART_Gems\item_gem_Amber_0x0F25.bmp
0x0F16 ART\ART_Gems\item_gem_Amethyst_0x0F16.bmp
0x0F15 ART\ART_Gems\item_gem_Citrine_0x0F15.bmp
0x0F26 ART\ART_Gems\item_gem_Diamond_0x0F26.bmp
0x0F10 ART\ART_Gems\item_gem_Emerald_0x0F10.bmp
0x0F13 ART\ART_Gems\item_gem_Ruby_0x0F13.bmp
0x0F11 ART\ART_Gems\item_gem_Sapphire_0x0F11.bmp
0x0F19 ART\ART_Gems\item_gem_Sapphire_0x0F19.bmp
0x0F0F ART\ART_Gems\item_gem_StarSapphire_0x0F0F.bmp
0x0F21 ART\ART_Gems\item_gem_StarSapphire_0x0F21.bmp
0x0F18 ART\ART_Gems\item_gem_Tourlamine_0x0F18.bmp
0x0F2D ART\ART_Gems\item_gem_Tourlamine_0x0F2D.bmp
0x0F06 ART\ART_Potions\item_potion_Black_0x0F06.bmp
0x0F08 ART\ART_Potions\item_potion_Blue_0x0F08.bmp
0x0F0E ART\ART_Potions\item_potion_Empty_0x0F0E.bmp
0x0F0A ART\ART_Potions\item_potion_Green_0x0F0A.bmp
0x0F07 ART\ART_Potions\item_potion_Orange_0x0F07.bmp
0x0F0D ART\ART_Potions\item_potion_Purple_0x0F0D.bmp
0x0F0B ART\ART_Potions\item_potion_Red_0x0F0B.bmp
0x0F09 ART\ART_Potions\item_potion_White_0x0F09.bmp
0x0F0C ART\ART_Potions\item_potion_Yellow_0x0F0C.bmp
0x1EA7 ART\ART_GemRare\item_gemRare_ArcaneGem_0x1EA7.bmp
0x0F28 ART\ART_GemRare\item_gemRare_BlackRockSmall_0x0F28.bmp
0x3198 ART\ART_GemRare\item_gemRare_BlueDiamond_0x3198.bmp
0x3199 ART\ART_GemRare\item_gemRare_BrilliantAmber_0x3199.bmp
0x3192 ART\ART_GemRare\item_gemRare_DarkSapphire_0x3192.bmp
0x3195 ART\ART_GemRare\item_gemRare_EcruCitrine_0x3195.bmp
0x3197 ART\ART_GemRare\item_gemRare_FireRuby_0x3197.bmp
0x0F8B ART\ART_GemRare\item_gemRare_MoonStone_0x0F8B.bmp
0x4078 ART\ART_GemRare\item_gemRare_MysticHealStone_0x4078.bmp
0x4079 ART\ART_GemRare\item_gemRare_MysticSpellStone_0x4079.bmp
0x3194 ART\ART_GemRare\item_gemRare_PerfectEmerald_0x3194.bmp
0x3155 ART\ART_GemRare\item_gemRare_SpellweaveArcaneFocus_0x3155.bmp
0x1ECD ART\ART_GemRare\item_gemRare_SpiritStone_0x1ECD.bmp
0x1ECE ART\ART_GemRare\item_gemRare_SpiritStone_0x1ECE.bmp
0x1ECF ART\ART_GemRare\item_gemRare_SpiritStone_0x1ECF.bmp
0x1ED0 ART\ART_GemRare\item_gemRare_SpiritStone_0x1ED0.bmp
0x1ED1 ART\ART_GemRare\item_gemRare_SpiritStone_0x1ED1.bmp
0x1ED2 ART\ART_GemRare\item_gemRare_SpiritStone_0x1ED2.bmp
0x3193 ART\ART_GemRare\item_gemRare_Turquoise_0x3193.bmp
0x186A ART\ART_GemRare\item_gemRare_VirtueStoneBlue_0x186A.bmp
0x186B ART\ART_GemRare\item_gemRare_VirtueStoneGreen_0x186B.bmp
0x186C ART\ART_GemRare\item_gemRare_VirtueStoneOrange_0x186C.bmp
0x186D ART\ART_GemRare\item_gemRare_VirtueStonePurple_0x186D.bmp
0x186E ART\ART_GemRare\item_gemRare_VirtueStoneRed_0x186E.bmp
0x186F ART\ART_GemRare\item_gemRare_VirtueStoneWhite_0x186F.bmp
0x1870 ART\ART_GemRare\item_gemRare_VirtueStoneYellow_0x1870.bmp
0x3196 ART\ART_GemRare\item_gemRare_WhitePearl_0x3196.bmp
0x0E25 ART\ART_PotionsRare\item_PotionRare_BottleSmall_0x0E25.bmp
0x0E2A ART\ART_PotionsRare\item_PotionRare_BottleSmall_0x0E2A.bmp
0x0EFE ART\ART_PotionsRare\item_PotionRare_BottleSquare_0x0EFE.bmp
0x0F02 ART\ART_PotionsRare\item_PotionRare_BottleTallRect_0x0F02.bmp
0x0F03 ART\ART_PotionsRare\item_PotionRare_BottleTallRound_0x0F03.bmp
0x0E2B ART\ART_PotionsRare\item_PotionRare_BottleTall_0x0E2B.bmp
0x0EFF ART\ART_PotionsRare\item_PotionRare_BottleWide_0x0EFF.bmp
0x7161 ART\ART_PotionsRare\item_PotionRare_Bottle_0x7161.bmp
0x4516 ART\ART_PotionsRare\item_PotionRare_Distillation_0x4516.bmp
0x0EFC ART\ART_PotionsRare\item_PotionRare_Extract_0x0EFC.bmp
0x7166 ART\ART_PotionsRare\item_PotionRare_PlantChemicals_0x7166.bmp
0x7163 ART\ART_PotionsRare\item_PotionRare_RoundFlaskTall_0x7163.bmp
0x71AF ART\ART_Book\item_book_Ankh_0x71AF.bmp
0xC0C0 ART\ART_Book\item_book_Bard_0xC0C0.bmp
0x238C ART\ART_Book\item_book_Bushido_0x238C.bmp
0x2252 ART\ART_Book\item_book_Chivalry_0x2252.bmp
0xC0C3 ART\ART_Book\item_book_Cross_0xC0C3.bmp
0x0EFA ART\ART_Book\item_book_Magery_0x0EFA.bmp
0x225A ART\ART_Book\item_book_Mastery_0x225A.bmp
0x2D9D ART\ART_Book\item_book_Mysticism_0x2D9D.bmp
0x2253 ART\ART_Book\item_book_Necromancy_0x2253.bmp
0x23A0 ART\ART_Book\item_book_Ninjitsu_0x23A0.bmp
0x9C16 ART\ART_Book\item_book_RunicAtlas_0x9C16.bmp
0x2D50 ART\ART_Book\item_book_SpellWeaving_0x2D50.bmp
0x2254 ART\ART_Book\item_book_Sword_0x2254.bmp
0xC0C1 ART\ART_Book\item_book_Weapon_0xC0C1.bmp
0x099F ART\ART_Food\item_food_Ale_0x099F.bmp
0x09D0 ART\ART_Food\item_food_apple_0x09D0.bmp
0x0979 ART\ART_Food\item_food_Bacon_0x0979.bmp
0x171F ART\ART_Food\item_food_Banana_0x171F.bmp
0x1422 ART\ART_Food\item_food_BeesWax_0x1422.bmp
0x1425 ART\ART_Food\item_food_BeeWaxDouble_0x1425.bmp
0x2836 ART\ART_Food\item_food_BentoLunchBox_0x2836.bmp
0x103B ART\ART_Food\item_food_BreadLoaf_0x103B.bmp
0x097D ART\ART_Food\item_food_cheese_0x097D.bmp
0x1608 ART\ART_Food\item_food_ChickenLeg_0x1608.bmp
0x09B7 ART\ART_Food\item_food_CookedBird_0x09B7.bmp
0x44D1 ART\ART_Food\item_food_Crab_0x44D1.bmp
0x44D2 ART\ART_Food\item_food_Crab_0x44D2.bmp
0x09F2 ART\ART_Food\item_food_CutOfRibs_0x09F2.bmp
0x103D ART\ART_Food\item_food_Dough_0x103D.bmp
0x09B5 ART\ART_Food\item_food_Eggs_0x09B5.bmp
0x2FD8 ART\ART_Food\item_food_EnchantedApple_0x2FD8.bmp
0x097A ART\ART_Food\item_food_FishSteak_0x097A.bmp
0x097B ART\ART_Food\item_food_FishSteak_0x097B.bmp
0x2D4F ART\ART_Food\item_food_FruitBowl_0x2D4F.bmp
0x2FD7 ART\ART_Food\item_food_GrapesOfWrath_0x2FD7.bmp
0x09D1 ART\ART_Food\item_food_grapes_0x09D1.bmp
0x09C9 ART\ART_Food\item_food_Ham_0x09C9.bmp
0x09EC ART\ART_Food\item_food_HoneyJar_0x09EC.bmp
0x160A ART\ART_Food\item_food_LegOfLamb_0x160A.bmp
0x099B ART\ART_Food\item_food_Liquor_0x099B.bmp
0x44D3 ART\ART_Food\item_food_Lobster_0x44D3.bmp
0x44D4 ART\ART_Food\item_food_Lobster_0x44D4.bmp
0x09EB ART\ART_Food\item_food_muffins_0x09EB.bmp
0x09D2 ART\ART_Food\item_food_peach_0x09D2.bmp
0x0994 ART\ART_Food\item_food_Pear_0x0994.bmp
0x0E7A ART\ART_Food\item_food_PicnicBasket_0x0E7A.bmp
0x1041 ART\ART_Food\item_food_PieApple_0x1041.bmp
0x09F1 ART\ART_Food\item_food_RibsRaw_0x09F1.bmp
0x2DB9 ART\ART_Food\item_food_RotWormSteak_0x2DB9.bmp
0x2DBA ART\ART_Food\item_food_RotWormStew_0x2DBA.bmp
0x09C0 ART\ART_Food\item_food_sausage_0x09C0.bmp
0x09C7 ART\ART_Food\item_food_Wine_0x09C7.bmp
0x44C3 ART\ART_Fish\item_fish_baracuda_0x44C3.bmp
0x09CD ART\ART_Fish\item_fish_bass_0x09CD.bmp
0x09CF ART\ART_Fish\item_fish_bigA_0x09CF.bmp
0x09CC ART\ART_Fish\item_fish_bigB_0x09CC.bmp
0x09CE ART\ART_Fish\item_fish_bigC_0x09CE.bmp
0x44C6 ART\ART_Fish\item_fish_catfish_0x44C6.bmp
0x4302 ART\ART_Fish\item_fish_HolyMackerel_0x4302.bmp
0x4306 ART\ART_Fish\item_fish_koi_0x4306.bmp
0x4303 ART\ART_Fish\item_fish_perch_0x4303.bmp
0x44C4 ART\ART_Fish\item_fish_pike_0x44C4.bmp
0x0DD6 ART\ART_Fish\item_fish_small_0x0DD6.bmp
0x44C5 ART\ART_Fish\item_fish_snook_0x44C5.bmp
0x4307 ART\ART_Fish\item_fish_trout_0x4307.bmp
